Mark  Neerincx,Paul  de Greef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad A. Myers,Richard  Wolf,Kathy  Potosnak,Chris  Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel C. Desmarais,Jiming  Liu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliviero  Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William E. Hefley,Dianne  Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen  Chappel,Michael  Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel R. Puerta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iain M. Begg,Joe  Gnocato,Wendy E. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. A. Hancock,M. H. Chignell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uwe  Malinowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephan  Romahn,Annette  Kaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex  Fukunaga,Wolfgang  Pree,Takayuki Dan Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur M. Keller,Richard  Jensen,Shailesh  Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.  Hasan,M.  Heytens,C.  Kolovson,M.-A.  Neimat,S.  Potamianos,D.  Schneider,,,,,,,,,,,,,,,,,,,,,,,,,
Amnon  Katz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary  Fostel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yu  Cao,James H. Graham,Adel S. Elmaghraby,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. S. Ammar,L.  Reichel,D. C. Sorensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baudouin  Le Charlier,Pascal  Van Hentenryck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin S. Olivier,Sebastiaan H. von Solms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jai  Menon,Richard J. Marisa,Jovan  Zagajac,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael K. Reiter,Kenneth P. Birman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avrim  Blum,Tao  Jiang,Ming  Li,John  Tromp,Mihalis  Yannakakis,Mihalis  Yannakakis,,,,,,,,,,,,,,,,,,,,,,,,,
Craig C. Douglas,Gordon  Slishman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. D. Kaushik,C.-H.  Huang,R. W. Johnson,P.  Sadayappan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatsuya  Shindo,Hidetoshi  Iwashita,Shaun  Kaneshiro,Tsunehisa  Doi,Junichi  Hagiwara,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathie A. Yerion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan  Bratko,Ross  King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry G. Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.-C.  Chappelier,A.  Grumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Browne,J.  Pilkington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger L. Wainwright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvana  Castano,Maria Grazia Fugini,Giancarlo  Martella,Pierangela  Samarati,,,,,,,,,,,,,,,,,,,,,,,,,,,
John  Hannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Bruce Irvin,Barton P. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen T. C. Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. T. Gorgone,J. D. Couger,G.  Davis,D.  Feinstein,G.  Kasper,J.  Little,H. E. Longenecker,,,,,,,,,,,,,,,,,,,,,,,,
Giorgio  Ingargiola,Nathan  Hoskin,Robert  Aiken,Rajeev  Dubey,Judith  Wilson,Mary-Angela  Papalaskari,Margaret  Christensen,Roger  Webster,,,,,,,,,,,,,,,,,,,,,,,
L.  Tombak,R.  Safavi-Naini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.  Rolin,L.  Toutain,S.  Gombault,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter D. Karp,Suzanne M. Paley,Ira  Greenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yannis  Labrou,Tim  Finin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuart K. Card,Peter  Pirolli,Jock D. Mackinlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge J. Mor,David J. Thuente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc  Levoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filomena  Ferrucci,Genny  Tortora,Maurizio  Tucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth P. Herndon,Tom  Meyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph E. Griswold,Clinton L. Jeffery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad  Mehlenbacher,Beth  Hardin,Chris  Barrett,Jim  Clagett,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.  Mines,J.  Friesen,C.  Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peggy  Buffington,Edward L. Vockell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael  Kearns,Ming  Li,Leslie  Valiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marianne  Winslett,Kenneth  Smith,Xiaolei  Qian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clifford W. Mercer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takafumi  Saito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippe  Quinnec,Gerard  Padiou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.  Salisbury,D.  Brock,T.  Massie,N.  Swarup,C.  Zilles,,,,,,,,,,,,,,,,,,,,,,,,,,
Zahava  Scherz,Bruria  Haberman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin  Ware,William  Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John N. Tsitsiklis,George D. Stamoulis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepak  Kumar,Richard  Wyatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susan L. Epstein,Virginia  Teller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat  Hayes,Ken  Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nils J. Nilsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuart  Russell,Peter  Norvig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marilyn A. Walker,Pamela W. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James H. Martin,Karl  Winklmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martha E. Pollack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig A. Knoblock,Qiang  Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Valente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald D. Cowan,Carlos J. P. Lucena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John  Marcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill  Manaris,Robert  Aiken,Cris  Koutsougeras,Toshinori  Munakata,Marco  Valtorta,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleopas O. Angaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renqi  Li,E. A. Unger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. E. Amos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
